Order_ID,Date,Product,Category,Sales,Profit,Region
ORD001,2025-08-21,Mouse,Furniture,323.07,59.8,East
ORD002,2025-01-07,Keyboard,Technology,151.0,15.98,East
ORD003,2025-08-15,Printer,Technology,132.22,30.77,North
ORD004,2025-03-14,Printer,Furniture,130.31,32.07,East
ORD005,2025-01-03,Mouse,Office Supplies,4396.26,1063.33,South
ORD006,2025-05-28,Laptop,Technology,4505.74,273.61,East
ORD007,2025-03-19,Printer,Technology,3630.41,792.77,South
ORD008,2025-12-05,Chair,Technology,659.29,47.86,South
ORD009,2025-06-26,Laptop,Furniture,959.09,182.77,East
ORD010,2025-10-06,Laptop,Furniture,2580.98,568.43,South
ORD011,2025-05-21,Keyboard,Office Supplies,2217.27,234.83,East
ORD012,2025-09-22,Printer,Technology,2135.21,138.85,North
ORD013,2025-03-22,Desk,Office Supplies,2268.42,629.58,North
ORD014,2025-03-22,Keyboard,Office Supplies,3544.29,893.16,West
ORD015,2025-12-21,Chair,Furniture,840.6,129.3,East
ORD016,2025-09-29,Monitor,Technology,4370.85,1096.62,West
ORD017,2025-07-10,Monitor,Technology,1303.21,231.42,South
ORD018,2025-08-19,Monitor,Office Supplies,1611.5,413.62,East
ORD019,2025-05-04,Mouse,Technology,972.46,240.35,West
ORD020,2025-07-11,Mouse,Furniture,4138.4,792.66,East
ORD021,2025-08-15,Printer,Office Supplies,4110.51,638.85,West
ORD022,2025-06-04,Printer,Technology,3777.36,1028.26,North
ORD023,2025-07-06,Chair,Office Supplies,1079.47,110.56,South
ORD024,2025-09-14,Monitor,Furniture,3346.94,477.64,North
ORD025,2025-09-04,Keyboard,Office Supplies,2644.7,262.47,North
ORD026,2025-08-01,Printer,Furniture,1198.01,295.5,West
ORD027,2025-10-17,Laptop,Furniture,2280.94,218.52,West
ORD028,2025-11-19,Keyboard,Technology,2729.55,511.79,North
ORD029,2025-05-14,Monitor,Office Supplies,2766.29,223.8,West
ORD030,2025-07-27,Chair,Technology,293.25,84.29,North
ORD031,2025-05-14,Printer,Furniture,3965.54,1106.82,West
ORD032,2025-02-15,Monitor,Furniture,3547.38,1044.66,West
